gene_id contig start end strand n_transcripts total_exons_length first_transcript other_transcripts
ORF64 LbFV 62256 62408 - 1 153 ORF64 NA
ORF65 LbFV 63241 63399 + 1 159 ORF65 NA
ORF66 LbFV 63603 65117 + 1 1515 ORF66 NA
ORF67 LbFV 65214 66143 - 1 930 ORF67 NA
ORF68 LbFV 66317 68254 - 1 1938 ORF68 NA
ORF69 LbFV 68262 68522 + 1 261 ORF69 NA
ORF7 LbFV 6456 7238 + 1 783 ORF7 NA
ORF70 LbFV 68698 68874 + 1 177 ORF70 NA
ORF71 LbFV 68976 69185 - 1 210 ORF71 NA
ORF72 LbFV 69346 69666 + 1 321 ORF72 NA
ORF73 LbFV 69663 70031 + 1 369 ORF73 NA
ORF74 LbFV 70086 70496 + 1 411 ORF74 NA
ORF75 LbFV 70642 70806 + 1 165 ORF75 NA
ORF76 LbFV 70837 71073 - 1 237 ORF76 NA
ORF77 LbFV 71686 71922 - 1 237 ORF77 NA
ORF78 LbFV 72250 74280 + 1 2031 ORF78 NA
ORF79 LbFV 74512 75441 + 1 930 ORF79 NA
ORF8 LbFV 7380 7634 + 1 255 ORF8 NA
ORF80 LbFV 75438 76493 + 1 1056 ORF80 NA
ORF81 LbFV 76496 78106 - 1 1611 ORF81 NA
ORF82 LbFV 78324 78644 + 1 321 ORF82 NA
ORF83 LbFV 78695 79996 + 1 1302 ORF83 NA
ORF84 LbFV 80037 80318 - 1 282 ORF84 NA
ORF85 LbFV 81460 82107 + 1 648 ORF85 NA
ORF86 LbFV 82085 82294 + 1 210 ORF86 NA
ORF87 LbFV 82379 82909 + 1 531 ORF87 NA
ORF88 LbFV 82909 83157 + 1 249 ORF88 NA
ORF89 LbFV 83276 83893 - 1 618 ORF89 NA
ORF9 LbFV 7722 8042 + 1 321 ORF9 NA
ORF90 LbFV 84157 85293 + 1 1137 ORF90 NA
ORF91 LbFV 85376 85537 + 1 162 ORF91 NA
ORF92 LbFV 85847 90628 + 1 4782 ORF92 NA
ORF93 LbFV 90768 90980 + 1 213 ORF93 NA
ORF94 LbFV 91063 91611 + 1 549 ORF94 NA
ORF95 LbFV 91632 91835 + 1 204 ORF95 NA
ORF96 LbFV 91718 94864 - 1 3147 ORF96 NA
ORF97 LbFV 94937 95809 + 1 873 ORF97 NA
ORF98 LbFV 95821 96438 + 1 618 ORF98 NA
ORF99 LbFV 96468 97388 + 1 921 ORF99 NA
XLOC_000001 IDBA_scaffold_10027 1337 2083 . 1 747 TCONS_00000001 NA
XLOC_000002 IDBA_scaffold_10030 14 6555 - 2 6542 TCONS_00000002 TCONS_00000003
XLOC_000003 IDBA_scaffold_10035 2 5371 - 2 2907 TCONS_00000005 TCONS_00000004
XLOC_000004 IDBA_scaffold_10038 1316 4049 . 1 2734 TCONS_00000006 NA
XLOC_000005 IDBA_scaffold_10038 4398 4844 . 1 447 TCONS_00000007 NA
XLOC_000006 IDBA_scaffold_1005 2300 17403 - 6 9711 TCONS_00000010 TCONS_00000009;TCONS_00000008;TCONS_00000011;TCONS_00000012;TCONS_00000013
XLOC_000007 IDBA_scaffold_10052 5531 6701 . 1 1171 TCONS_00000014 NA
XLOC_000008 IDBA_scaffold_10055 3529 8108 + 1 3075 TCONS_00000015 NA
XLOC_000009 IDBA_scaffold_10078 1456 5529 + 1 697 TCONS_00000016 NA
XLOC_000010 IDBA_scaffold_10079 3032 4117 . 1 1086 TCONS_00000017 NA
XLOC_000011 IDBA_scaffold_10084 2130 4814 - 2 1414 TCONS_00000018 TCONS_00000019
XLOC_000012 IDBA_scaffold_10084 1052 1529 . 1 478 TCONS_00000020 NA
XLOC_000013 IDBA_scaffold_10087 110 2048 - 2 1318 TCONS_00000021 TCONS_00000022
XLOC_000014 IDBA_scaffold_10087 2184 4679 - 5 1123 TCONS_00000023 TCONS_00000024;TCONS_00000025;TCONS_00000027;TCONS_00000026
XLOC_000015 IDBA_scaffold_1009 3639 5265 - 1 742 TCONS_00000028 NA
XLOC_000016 IDBA_scaffold_1009 6653 11318 - 2 889 TCONS_00000030 TCONS_00000029
XLOC_000017 IDBA_scaffold_1009 14298 20597 - 6 2020 TCONS_00000033 TCONS_00000034;TCONS_00000032;TCONS_00000031;TCONS_00000036;TCONS_00000035
XLOC_000018 IDBA_scaffold_10090 469 2934 + 1 2252 TCONS_00000037 NA
XLOC_000019 IDBA_scaffold_10090 3725 5667 . 1 1943 TCONS_00000038 NA
XLOC_000020 IDBA_scaffold_10093 3441 3951 . 1 511 TCONS_00000039 NA
XLOC_000021 IDBA_scaffold_10129 4786 5015 . 1 230 TCONS_00000040 NA
XLOC_000022 IDBA_scaffold_10140 431 3147 + 1 1098 TCONS_00000041 NA
XLOC_000023 IDBA_scaffold_10142 3833 6767 - 2 2606 TCONS_00000042 TCONS_00000043
XLOC_000024 IDBA_scaffold_10142 445 1775 . 1 1331 TCONS_00000044 NA
XLOC_000025 IDBA_scaffold_10142 1890 2380 . 1 491 TCONS_00000045 NA
XLOC_000026 IDBA_scaffold_10144 4503 5521 . 1 1019 TCONS_00000046 NA
XLOC_000027 IDBA_scaffold_10147 2691 4337 . 1 1647 TCONS_00000047 NA
XLOC_000028 IDBA_scaffold_10162 1678 2461 - 2 655 TCONS_00000049 TCONS_00000048
XLOC_000029 IDBA_scaffold_10166 6842 8712 - 1 1344 TCONS_00000050 NA
XLOC_000030 IDBA_scaffold_10166 5220 6596 . 1 1377 TCONS_00000051 NA
XLOC_000031 IDBA_scaffold_10168 1607 4811 + 2 1671 TCONS_00000052 TCONS_00000053
XLOC_000032 IDBA_scaffold_10168 5264 8376 - 5 1814 TCONS_00000054 TCONS_00000057;TCONS_00000056;TCONS_00000055;TCONS_00000058
XLOC_000033 IDBA_scaffold_10168 6 1255 . 1 1250 TCONS_00000059 NA
XLOC_000034 IDBA_scaffold_10171 2694 4465 + 1 1390 TCONS_00000060 NA
XLOC_000035 IDBA_scaffold_10171 2622 4632 - 1 1926 TCONS_00000061 NA
XLOC_000036 IDBA_scaffold_10171 640 1229 . 1 590 TCONS_00000062 NA
XLOC_000037 IDBA_scaffold_10171 1331 1800 . 1 470 TCONS_00000063 NA
XLOC_000038 IDBA_scaffold_10178 51 4799 . 1 4749 TCONS_00000064 NA
XLOC_000039 IDBA_scaffold_10184 6 4932 - 4 4498 TCONS_00000065 TCONS_00000066;TCONS_00000067;TCONS_00000068
XLOC_000040 IDBA_scaffold_1019 10447 11127 . 1 681 TCONS_00000069 NA
XLOC_000041 IDBA_scaffold_10198 1605 2604 + 2 1000 TCONS_00000070 TCONS_00000071
XLOC_000042 IDBA_scaffold_1020 13257 24041 - 1 2959 TCONS_00000072 NA
XLOC_000043 IDBA_scaffold_10206 1938 2396 . 1 459 TCONS_00000073 NA
XLOC_000044 IDBA_scaffold_10214 5472 6938 . 1 1467 TCONS_00000074 NA
XLOC_000045 IDBA_scaffold_10214 8151 8625 . 1 475 TCONS_00000075 NA
XLOC_000046 IDBA_scaffold_1022 15 7411 + 6 6207 TCONS_00000076 TCONS_00000080;TCONS_00000081;TCONS_00000079;TCONS_00000078;TCONS_00000077
XLOC_000047 IDBA_scaffold_1022 10053 17708 + 2 3571 TCONS_00000082 TCONS_00000083
XLOC_000048 IDBA_scaffold_1022 5786 9841 - 1 3025 TCONS_00000084 NA
XLOC_000049 IDBA_scaffold_1022 15035 20979 - 1 4966 TCONS_00000085 NA
XLOC_000050 IDBA_scaffold_10224 3752 6021 + 1 667 TCONS_00000086 NA
XLOC_000051 IDBA_scaffold_10228 8437 13978 - 1 1017 TCONS_00000087 NA
XLOC_000052 IDBA_scaffold_1023 223 17761 + 8 11375 TCONS_00000088 TCONS_00000090;TCONS_00000089;TCONS_00000091;TCONS_00000092;TCONS_00000093;TCONS_00000094;TCONS_00000095
XLOC_000053 IDBA_scaffold_1023 20299 26170 + 2 4285 TCONS_00000096 TCONS_00000097
XLOC_000054 IDBA_scaffold_1023 23938 29621 - 4 4616 TCONS_00000099 TCONS_00000098;TCONS_00000101;TCONS_00000100
XLOC_000055 IDBA_scaffold_1023 6705 7783 . 1 1079 TCONS_00000102 NA
XLOC_000056 IDBA_scaffold_10231 1105 1879 . 1 775 TCONS_00000103 NA
XLOC_000057 IDBA_scaffold_10233 608 5565 . 1 4958 TCONS_00000104 NA
XLOC_000058 IDBA_scaffold_10239 1193 3459 . 1 2267 TCONS_00000105 NA
XLOC_000059 IDBA_scaffold_10253 5258 8296 + 2 833 TCONS_00000106 TCONS_00000107
XLOC_000060 IDBA_scaffold_10254 1408 3834 + 3 1337 TCONS_00000109 TCONS_00000108;TCONS_00000110
XLOC_000061 IDBA_scaffold_10254 5343 7853 . 1 2511 TCONS_00000111 NA
XLOC_000062 IDBA_scaffold_10258 7770 13007 + 1 1612 TCONS_00000112 NA
XLOC_000063 IDBA_scaffold_10258 10 1185 . 1 1176 TCONS_00000113 NA
XLOC_000064 IDBA_scaffold_10258 13194 13412 . 1 219 TCONS_00000114 NA
XLOC_000065 IDBA_scaffold_1026 16883 17951 + 1 723 TCONS_00000115 NA
XLOC_000066 IDBA_scaffold_10266 826 1738 . 1 913 TCONS_00000116 NA
XLOC_000067 IDBA_scaffold_10266 1997 3560 . 1 1564 TCONS_00000117 NA
XLOC_000068 IDBA_scaffold_10274 424 4451 + 1 3627 TCONS_00000118 NA
XLOC_000069 IDBA_scaffold_10297 1873 5393 - 1 667 TCONS_00000119 NA
XLOC_000070 IDBA_scaffold_10300 2992 3382 . 1 391 TCONS_00000120 NA
XLOC_000071 IDBA_scaffold_10300 5389 6625 . 1 1237 TCONS_00000121 NA
XLOC_000072 IDBA_scaffold_10301 1 3964 - 1 2760 TCONS_00000122 NA
XLOC_000073 IDBA_scaffold_10310 1570 2572 . 1 1003 TCONS_00000123 NA
XLOC_000074 IDBA_scaffold_10310 11344 12308 . 1 965 TCONS_00000124 NA
XLOC_000075 IDBA_scaffold_10316 1509 5118 - 1 2811 TCONS_00000125 NA
XLOC_000076 IDBA_scaffold_10349 3624 4649 . 1 1026 TCONS_00000126 NA
XLOC_000077 IDBA_scaffold_10355 2807 4055 . 1 1249 TCONS_00000127 NA
XLOC_000078 IDBA_scaffold_10373 1 4577 . 1 4577 TCONS_00000128 NA
XLOC_000079 IDBA_scaffold_10374 430 6383 + 5 2831 TCONS_00000129 TCONS_00000131;TCONS_00000130;TCONS_00000132;TCONS_00000133
XLOC_000080 IDBA_scaffold_10384 423 5342 + 5 3141 TCONS_00000135 TCONS_00000134;TCONS_00000136;TCONS_00000137;TCONS_00000138
XLOC_000081 IDBA_scaffold_10384 2493 5488 - 2 2463 TCONS_00000139 TCONS_00000140
XLOC_000082 IDBA_scaffold_10397 148 4543 + 2 4009 TCONS_00000141 TCONS_00000142
XLOC_000083 IDBA_scaffold_10397 755 3983 - 1 2567 TCONS_00000143 NA
XLOC_000084 IDBA_scaffold_10416 909 4893 - 3 623 TCONS_00000144 TCONS_00000145;TCONS_00000146
XLOC_000085 IDBA_scaffold_10417 905 2290 . 1 1386 TCONS_00000147 NA
XLOC_000086 IDBA_scaffold_1042 5193 5591 . 1 399 TCONS_00000148 NA
XLOC_000087 IDBA_scaffold_10420 2201 5526 + 2 2973 TCONS_00000149 TCONS_00000150
XLOC_000088 IDBA_scaffold_10422 1132 1879 . 1 748 TCONS_00000151 NA
XLOC_000089 IDBA_scaffold_10449 1 198 . 1 198 TCONS_00000152 NA
XLOC_000090 IDBA_scaffold_10456 9941 11434 . 1 1494 TCONS_00000153 NA
XLOC_000091 IDBA_scaffold_10471 3444 3853 . 1 410 TCONS_00000154 NA
XLOC_000092 IDBA_scaffold_10473 51 2862 . 1 2812 TCONS_00000155 NA
XLOC_000093 IDBA_scaffold_10477 16 2331 - 2 819 TCONS_00000156 TCONS_00000157
XLOC_000094 IDBA_scaffold_1048 5997 22713 - 5 3317 TCONS_00000158 TCONS_00000160;TCONS_00000159;TCONS_00000162;TCONS_00000161
XLOC_000095 IDBA_scaffold_10501 37 2507 . 1 2471 TCONS_00000163 NA
XLOC_000096 IDBA_scaffold_10533 1209 4111 - 1 760 TCONS_00000164 NA
XLOC_000097 IDBA_scaffold_10538 1942 5463 - 1 3437 TCONS_00000165 NA
XLOC_000098 IDBA_scaffold_1054 955 6560 + 10 2500 TCONS_00000166 TCONS_00000170;TCONS_00000169;TCONS_00000168;TCONS_00000167;TCONS_00000172;TCONS_00000171;TCONS_00000174;TCONS_00000173;TCONS_00000175
XLOC_000099 IDBA_scaffold_1054 16646 19800 + 3 1651 TCONS_00000177 TCONS_00000176;TCONS_00000178
XLOC_000100 IDBA_scaffold_1054 20461 22976 + 2 1545 TCONS_00000180 TCONS_00000179
XLOC_000101 IDBA_scaffold_1054 5587 16915 - 2 4179 TCONS_00000181 TCONS_00000182
XLOC_000102 IDBA_scaffold_1056 1811 19449 + 1 2129 TCONS_00000183 NA
XLOC_000103 IDBA_scaffold_1056 20299 25239 . 1 4941 TCONS_00000184 NA
XLOC_000104 IDBA_scaffold_10563 1 3597 + 3 3597 TCONS_00000187 TCONS_00000186;TCONS_00000185
XLOC_000105 IDBA_scaffold_10564 221 2561 . 1 2341 TCONS_00000188 NA
XLOC_000106 IDBA_scaffold_10564 3343 3865 . 1 523 TCONS_00000189 NA
XLOC_000107 IDBA_scaffold_10568 6 5470 . 1 5465 TCONS_00000190 NA
XLOC_000108 IDBA_scaffold_1058 3414 12294 + 1 2243 TCONS_00000191 NA
XLOC_000109 IDBA_scaffold_1058 12759 18412 - 1 1597 TCONS_00000192 NA
XLOC_000110 IDBA_scaffold_1058 18908 24583 - 7 1921 TCONS_00000193 TCONS_00000194;TCONS_00000197;TCONS_00000196;TCONS_00000195;TCONS_00000198;TCONS_00000199
XLOC_000111 IDBA_scaffold_10584 6278 12177 + 1 562 TCONS_00000200 NA
XLOC_000112 IDBA_scaffold_10584 1 1330 . 1 1330 TCONS_00000201 NA
XLOC_000113 IDBA_scaffold_10585 16 834 - 1 516 TCONS_00000202 NA
XLOC_000114 IDBA_scaffold_10585 2366 3709 - 1 954 TCONS_00000203 NA
XLOC_000115 IDBA_scaffold_1059 691 16621 + 2 3192 TCONS_00000205 TCONS_00000204
XLOC_000116 IDBA_scaffold_1059 19185 20201 - 1 521 TCONS_00000206 NA
XLOC_000117 IDBA_scaffold_1059 10073 11581 . 1 1509 TCONS_00000207 NA
XLOC_000118 IDBA_scaffold_10598 533 1718 + 3 776 TCONS_00000208 TCONS_00000209;TCONS_00000210
XLOC_000119 IDBA_scaffold_10600 2067 4896 . 1 2830 TCONS_00000211 NA
XLOC_000120 IDBA_scaffold_10601 7583 8005 . 1 423 TCONS_00000212 NA
XLOC_000121 IDBA_scaffold_10609 3089 3134 . 1 46 TCONS_00000213 NA
XLOC_000122 IDBA_scaffold_10628 4710 5360 . 1 651 TCONS_00000214 NA
XLOC_000123 IDBA_scaffold_10642 403 3462 - 1 2286 TCONS_00000215 NA
XLOC_000124 IDBA_scaffold_10654 9650 11525 . 1 1876 TCONS_00000216 NA
XLOC_000125 IDBA_scaffold_10661 88 1080 . 1 993 TCONS_00000217 NA
XLOC_000126 IDBA_scaffold_10661 1583 3747 . 1 2165 TCONS_00000218 NA
XLOC_000127 IDBA_scaffold_10661 4075 5298 . 1 1224 TCONS_00000219 NA
XLOC_000128 IDBA_scaffold_10683 1668 3533 + 4 1866 TCONS_00000220 TCONS_00000221;TCONS_00000223;TCONS_00000222
XLOC_000129 IDBA_scaffold_10692 1884 5068 - 3 1249 TCONS_00000224 TCONS_00000225;TCONS_00000226
XLOC_000130 IDBA_scaffold_10693 862 3138 . 1 2277 TCONS_00000227 NA
XLOC_000131 IDBA_scaffold_10695 225 6145 - 3 5435 TCONS_00000229 TCONS_00000228;TCONS_00000230
XLOC_000132 IDBA_scaffold_10698 863 2248 . 1 1386 TCONS_00000231 NA
XLOC_000133 IDBA_scaffold_10699 2029 6183 - 6 2170 TCONS_00000233 TCONS_00000232;TCONS_00000237;TCONS_00000236;TCONS_00000235;TCONS_00000234
XLOC_000134 IDBA_scaffold_1070 21299 23135 + 2 1337 TCONS_00000239 TCONS_00000238
XLOC_000135 IDBA_scaffold_1070 23253 31054 - 4 5710 TCONS_00000240 TCONS_00000241;TCONS_00000243;TCONS_00000242
XLOC_000136 IDBA_scaffold_1070 31129 32403 . 1 1275 TCONS_00000244 NA
XLOC_000137 IDBA_scaffold_10705 699 2641 - 2 766 TCONS_00000245 TCONS_00000246
XLOC_000138 IDBA_scaffold_10710 167 1605 . 1 1439 TCONS_00000247 NA
XLOC_000139 IDBA_scaffold_10710 4380 5093 . 1 714 TCONS_00000248 NA
XLOC_000140 IDBA_scaffold_10710 6450 8797 . 1 2348 TCONS_00000249 NA
XLOC_000141 IDBA_scaffold_10710 9262 12045 . 1 2784 TCONS_00000250 NA
XLOC_000142 IDBA_scaffold_10713 3822 4337 . 1 516 TCONS_00000251 NA
XLOC_000143 IDBA_scaffold_10722 2777 3515 . 1 739 TCONS_00000252 NA
XLOC_000144 IDBA_scaffold_10730 502 5196 - 2 3885 TCONS_00000254 TCONS_00000253
XLOC_000145 IDBA_scaffold_10737 338 1520 . 1 1183 TCONS_00000255 NA
XLOC_000146 IDBA_scaffold_10759 4 5396 . 1 5393 TCONS_00000256 NA
XLOC_000147 IDBA_scaffold_10761 2044 7073 - 3 1168 TCONS_00000257 TCONS_00000259;TCONS_00000258
XLOC_000148 IDBA_scaffold_10761 4659 5457 . 1 799 TCONS_00000260 NA
XLOC_000149 IDBA_scaffold_10762 2264 3935 + 1 1561 TCONS_00000261 NA
XLOC_000150 IDBA_scaffold_10765 12416 17567 - 1 1434 TCONS_00000262 NA
XLOC_000151 IDBA_scaffold_10765 7122 7924 . 1 803 TCONS_00000263 NA
XLOC_000152 IDBA_scaffold_10773 6408 8003 . 1 1596 TCONS_00000264 NA
XLOC_000153 IDBA_scaffold_10779 184 1187 . 1 1004 TCONS_00000265 NA
XLOC_000154 IDBA_scaffold_10786 757 1296 . 1 540 TCONS_00000266 NA
XLOC_000155 IDBA_scaffold_10786 1428 2060 . 1 633 TCONS_00000267 NA
XLOC_000156 IDBA_scaffold_10786 2996 4050 . 1 1055 TCONS_00000268 NA
XLOC_000157 IDBA_scaffold_10786 4231 5386 . 1 1156 TCONS_00000269 NA
XLOC_000158 IDBA_scaffold_108 261 11220 + 5 3347 TCONS_00000270 TCONS_00000271;TCONS_00000272;TCONS_00000273;TCONS_00000274
XLOC_000159 IDBA_scaffold_108 32444 33391 + 1 827 TCONS_00000275 NA
XLOC_000160 IDBA_scaffold_108 12612 65925 - 5 7398 TCONS_00000276 TCONS_00000277;TCONS_00000279;TCONS_00000278;TCONS_00000280
XLOC_000161 IDBA_scaffold_1080 2830 7494 + 1 2550 TCONS_00000281 NA
XLOC_000162 IDBA_scaffold_1080 6554 19014 - 8 5016 TCONS_00000282 TCONS_00000283;TCONS_00000284;TCONS_00000285;TCONS_00000286;TCONS_00000288;TCONS_00000287;TCONS_00000289
XLOC_000163 IDBA_scaffold_10808 3546 6267 + 1 2225 TCONS_00000290 NA
XLOC_000164 IDBA_scaffold_10808 35 6267 - 2 6010 TCONS_00000291 TCONS_00000292
XLOC_000165 IDBA_scaffold_10809 7279 10798 - 2 1138 TCONS_00000293 TCONS_00000294
XLOC_000166 IDBA_scaffold_10816 4076 5374 . 1 1299 TCONS_00000295 NA
XLOC_000167 IDBA_scaffold_10821 2100 6292 . 1 4193 TCONS_00000296 NA
XLOC_000168 IDBA_scaffold_10834 777 4016 . 1 3240 TCONS_00000297 NA
XLOC_000169 IDBA_scaffold_10844 114 5312 . 1 5199 TCONS_00000298 NA
XLOC_000170 IDBA_scaffold_10845 1071 4413 - 2 678 TCONS_00000299 TCONS_00000300
XLOC_000171 IDBA_scaffold_10848 92 3666 . 1 3575 TCONS_00000301 NA
XLOC_000172 IDBA_scaffold_10848 3915 5305 . 1 1391 TCONS_00000302 NA
XLOC_000173 IDBA_scaffold_10851 7 490 . 1 484 TCONS_00000303 NA
XLOC_000174 IDBA_scaffold_10858 3243 4153 . 1 911 TCONS_00000304 NA
XLOC_000175 IDBA_scaffold_10858 5894 6371 . 1 478 TCONS_00000305 NA
XLOC_000176 IDBA_scaffold_10870 1983 2425 . 1 443 TCONS_00000306 NA
XLOC_000177 IDBA_scaffold_10880 1040 2160 . 1 1121 TCONS_00000307 NA
XLOC_000178 IDBA_scaffold_10899 881 1469 . 1 589 TCONS_00000308 NA
XLOC_000179 IDBA_scaffold_1091 2168 3001 . 1 834 TCONS_00000309 NA
XLOC_000180 IDBA_scaffold_10924 214 5231 - 2 5018 TCONS_00000310 TCONS_00000311
XLOC_000181 IDBA_scaffold_10929 105 4297 . 1 4193 TCONS_00000312 NA
XLOC_000182 IDBA_scaffold_10936 3689 4198 . 1 510 TCONS_00000313 NA
XLOC_000183 IDBA_scaffold_10939 1196 2803 . 1 1608 TCONS_00000314 NA
XLOC_000184 IDBA_scaffold_10939 7513 12011 . 1 4499 TCONS_00000315 NA
XLOC_000185 IDBA_scaffold_1094 709 3748 + 1 1837 TCONS_00000316 NA
XLOC_000186 IDBA_scaffold_1094 18659 19451 + 1 433 TCONS_00000317 NA
XLOC_000187 IDBA_scaffold_1094 4894 12953 - 5 3699 TCONS_00000319 TCONS_00000318;TCONS_00000320;TCONS_00000321;TCONS_00000322
XLOC_000188 IDBA_scaffold_10945 3308 4406 . 1 1099 TCONS_00000323 NA
XLOC_000189 IDBA_scaffold_1095 8290 11621 + 2 2740 TCONS_00000325 TCONS_00000324
XLOC_000190 IDBA_scaffold_1095 9296 12451 - 3 886 TCONS_00000326 TCONS_00000327;TCONS_00000328
XLOC_000191 IDBA_scaffold_1095 15643 30161 - 4 3977 TCONS_00000330 TCONS_00000329;TCONS_00000332;TCONS_00000331
XLOC_000192 IDBA_scaffold_1095 30514 32606 - 4 1504 TCONS_00000334 TCONS_00000333;TCONS_00000335;TCONS_00000336
XLOC_000193 IDBA_scaffold_1096 5294 10720 + 5 2961 TCONS_00000338 TCONS_00000337;TCONS_00000339;TCONS_00000340;TCONS_00000341
XLOC_000194 IDBA_scaffold_1096 11289 27229 + 10 7785 TCONS_00000344 TCONS_00000346;TCONS_00000348;TCONS_00000349;TCONS_00000347;TCONS_00000345;TCONS_00000343;TCONS_00000342;TCONS_00000350;TCONS_00000351
XLOC_000195 IDBA_scaffold_1096 75 5256 - 2 3952 TCONS_00000352 TCONS_00000353
XLOC_000196 IDBA_scaffold_1096 23484 37579 - 9 7938 TCONS_00000356 TCONS_00000358;TCONS_00000357;TCONS_00000355;TCONS_00000354;TCONS_00000360;TCONS_00000359;TCONS_00000362;TCONS_00000361
XLOC_000197 IDBA_scaffold_10962 1103 4953 . 1 3851 TCONS_00000363 NA
XLOC_000198 IDBA_scaffold_10990 3064 4665 . 1 1602 TCONS_00000364 NA
XLOC_000199 IDBA_scaffold_10993 71 5299 . 1 5229 TCONS_00000365 NA
XLOC_000200 IDBA_scaffold_10998 74 552 . 1 479 TCONS_00000366 NA
XLOC_000201 IDBA_scaffold_10999 1 4193 + 1 3148 TCONS_00000367 NA
XLOC_000202 IDBA_scaffold_11000 278 2808 . 1 2531 TCONS_00000368 NA
XLOC_000203 IDBA_scaffold_11000 2915 8830 . 1 5916 TCONS_00000369 NA
XLOC_000204 IDBA_scaffold_11000 9040 9839 . 1 800 TCONS_00000370 NA
XLOC_000205 IDBA_scaffold_11002 489 4686 . 1 4198 TCONS_00000371 NA
XLOC_000206 IDBA_scaffold_11007 3906 5292 . 1 1387 TCONS_00000372 NA
